geração,Id_Barra,Nome_Barra,Tamanho Geometrico (cm),Tamanho de Corte (cm),Fitness,No1_X,No1_Y,No2_X,No2_Y
13,12,ID,6.1987,10.1987,0.1733,31.3765,6.1987,31.3765,0.0
13,13,EJ,5.9895,7.9895,0.1733,43.1329,0.0,43.1329,5.9895
13,14,FB,13.1942,17.1942,0.1733,0.0,5.9895,11.7564,0.0
13,15,GC,11.6044,15.6044,0.1733,11.7564,6.1987,21.5664,0.0
13,16,IC,11.6044,15.6044,0.1733,31.3765,6.1987,21.5664,0.0
13,17,JD,13.1942,17.1942,0.1733,43.1329,5.9895,31.3765,0.0
14,1,AB,11.7548,13.7548,0.1885,0.0,0.0,11.7548,0.0
14,2,BC,9.773,13.773,0.1885,11.7548,0.0,21.5279,0.0
14,3,CD,9.773,13.773,0.1885,21.5279,0.0,31.3009,0.0
14,4,DE,11.7548,13.7548,0.1885,31.3009,0.0,43.0557,0.0
14,5,FG,11.755,15.755,0.1885,0.0,6.0391,11.7548,5.9721
14,6,GH,9.7772,13.7772,0.1885,11.7548,5.9721,21.5279,6.2575
14,7,HI,9.7772,13.7772,0.1885,21.5279,6.2575,31.3009,5.9721
14,8,IJ,11.755,15.755,0.1885,31.3009,5.9721,43.0557,6.0391
14,9,AF,6.0391,8.0391,0.1885,0.0,0.0,0.0,6.0391
14,10,GB,5.9721,9.9721,0.1885,11.7548,5.9721,11.7548,0.0
14,11,HC,6.2575,10.2575,0.1885,21.5279,6.2575,21.5279,0.0
14,12,ID,5.9721,9.9721,0.1885,31.3009,5.9721,31.3009,0.0
14,13,EJ,6.0391,8.0391,0.1885,43.0557,0.0,43.0557,6.0391
14,14,FB,13.2154,17.2154,0.1885,0.0,6.0391,11.7548,0.0
14,15,GC,11.4533,15.4533,0.1885,11.7548,5.9721,21.5279,0.0
14,16,IC,11.4533,15.4533,0.1885,31.3009,5.9721,21.5279,0.0
14,17,JD,13.2154,17.2154,0.1885,43.0557,6.0391,31.3009,0.0
15,1,AB,11.769,13.769,0.1974,0.0,0.0,11.769,0.0
15,2,BC,9.7952,13.7952,0.1974,11.769,0.0,21.5641,0.0
15,3,CD,9.7952,13.7952,0.1974,21.5641,0.0,31.3593,0.0
15,4,DE,11.769,13.769,0.1974,31.3593,0.0,43.1282,0.0
15,5,FG,11.7695,15.7695,0.1974,0.0,5.9819,11.769,5.8737
15,6,GH,9.804,13.804,0.1974,11.769,5.8737,21.5641,6.2898
15,7,HI,9.804,13.804,0.1974,21.5641,6.2898,31.3593,5.8737
15,8,IJ,11.7695,15.7695,0.1974,31.3593,5.8737,43.1282,5.9819
15,9,AF,5.9819,7.9819,0.1974,0.0,0.0,0.0,5.9819
15,10,GB,5.8737,9.8737,0.1974,11.769,5.8737,11.769,0.0
15,11,HC,6.2898,10.2898,0.1974,21.5641,6.2898,21.5641,0.0
15,12,ID,5.8737,9.8737,0.1974,31.3593,5.8737,31.3593,0.0
15,13,EJ,5.9819,7.9819,0.1974,43.1282,0.0,43.1282,5.9819
15,14,FB,13.2019,17.2019,0.1974,0.0,5.9819,11.769,0.0
15,15,GC,11.4213,15.4213,0.1974,11.769,5.8737,21.5641,0.0
15,16,IC,11.4213,15.4213,0.1974,31.3593,5.8737,21.5641,0.0
15,17,JD,13.2019,17.2019,0.1974,43.1282,5.9819,31.3593,0.0
16,1,AB,11.7233,13.7233,0.2012,0.0,0.0,11.7233,0.0
16,2,BC,9.807,13.807,0.2012,11.7233,0.0,21.5303,0.0
16,3,CD,9.807,13.807,0.2012,21.5303,0.0,31.3374,0.0
16,4,DE,11.7233,13.7233,0.2012,31.3374,0.0,43.0607,0.0
16,5,FG,11.7254,15.7254,0.2012,0.0,5.8479,11.7233,5.6263
16,6,GH,9.8163,13.8163,0.2012,11.7233,5.6263,21.5303,6.0534
16,7,HI,9.8163,13.8163,0.2012,21.5303,6.0534,31.3374,5.6263
16,8,IJ,11.7254,15.7254,0.2012,31.3374,5.6263,43.0607,5.8479
16,9,AF,5.8479,7.8479,0.2012,0.0,0.0,0.0,5.8479
16,10,GB,5.6263,9.6263,0.2012,11.7233,5.6263,11.7233,0.0
16,11,HC,6.0534,10.0534,0.2012,21.5303,6.0534,21.5303,0.0
16,12,ID,5.6263,9.6263,0.2012,31.3374,5.6263,31.3374,0.0
16,13,EJ,5.8479,7.8479,0.2012,43.0607,0.0,43.0607,5.8479
16,14,FB,13.1009,17.1009,0.2012,0.0,5.8479,11.7233,0.0
16,15,GC,11.3063,15.3063,0.2012,11.7233,5.6263,21.5303,0.0
16,16,IC,11.3063,15.3063,0.2012,31.3374,5.6263,21.5303,0.0
16,17,JD,13.1009,17.1009,0.2012,43.0607,5.8479,31.3374,0.0
17,1,AB,11.7233,13.7233,0.2012,0.0,0.0,11.7233,0.0
17,2,BC,9.807,13.807,0.2012,11.7233,0.0,21.5303,0.0
17,3,CD,9.807,13.807,0.2012,21.5303,0.0,31.3374,0.0
17,4,DE,11.7233,13.7233,0.2012,31.3374,0.0,43.0607,0.0
17,5,FG,11.7254,15.7254,0.2012,0.0,5.8479,11.7233,5.6263
17,6,GH,9.8163,13.8163,0.2012,11.7233,5.6263,21.5303,6.0534
17,7,HI,9.8163,13.8163,0.2012,21.5303,6.0534,31.3374,5.6263
17,8,IJ,11.7254,15.7254,0.2012,31.3374,5.6263,43.0607,5.8479
17,9,AF,5.8479,7.8479,0.2012,0.0,0.0,0.0,5.8479
17,10,GB,5.6263,9.6263,0.2012,11.7233,5.6263,11.7233,0.0
17,11,HC,6.0534,10.0534,0.2012,21.5303,6.0534,21.5303,0.0
17,12,ID,5.6263,9.6263,0.2012,31.3374,5.6263,31.3374,0.0
17,13,EJ,5.8479,7.8479,0.2012,43.0607,0.0,43.0607,5.8479
17,14,FB,13.1009,17.1009,0.2012,0.0,5.8479,11.7233,0.0
17,15,GC,11.3063,15.3063,0.2012,11.7233,5.6263,21.5303,0.0
17,16,IC,11.3063,15.3063,0.2012,31.3374,5.6263,21.5303,0.0
17,17,JD,13.1009,17.1009,0.2012,43.0607,5.8479,31.3374,0.0
18,1,AB,11.7233,13.7233,0.2012,0.0,0.0,11.7233,0.0
18,2,BC,9.807,13.807,0.2012,11.7233,0.0,21.5303,0.0
18,3,CD,9.807,13.807,0.2012,21.5303,0.0,31.3374,0.0
18,4,DE,11.7233,13.7233,0.2012,31.3374,0.0,43.0607,0.0
18,5,FG,11.7254,15.7254,0.2012,0.0,5.8479,11.7233,5.6263
